区分,種類,対象,時間軸(年次),管区警察局,/認知・検挙件数・検挙人員,認知件数【件】,検挙件数【件】,検挙率【%】,検挙人員【人】
重要犯罪,,,2007年,千葉県,,797,457,57.3,428
重要犯罪,,,2007年,神奈川県,,"1,008",650,64.5,593
重要犯罪,,,2007年,新潟県,,295,150,50.8,125
重要犯罪,,,2007年,山梨県,,76,49,64.5,42
重要犯罪,,,2007年,長野県,,198,121,61.1,96
重要犯罪,,,2007年,静岡県,,492,300,61,231
重要犯罪,,,2007年,中部管区,,"1,706",910,53.3,740
重要犯罪,,,2007年,富山県,,80,42,52.5,35
重要犯罪,,,2007年,石川県,,90,79,87.8,66
重要犯罪,,,2007年,福井県,,53,39,73.6,22
重要犯罪,,,2007年,岐阜県,,228,120,52.6,108
重要犯罪,,,2007年,愛知県,,"1,090",543,49.8,429
重要犯罪,,,2007年,三重県,,165,87,52.7,80
重要犯罪,,,2007年,近畿管区,,"3,722","1,870",50.2,"1,597"
重要犯罪,,,2007年,滋賀県,,136,84,61.8,88
重要犯罪,,,2007年,京都府,,390,264,67.7,196
重要犯罪,,,2007年,大阪府,,"2,005",844,42.1,733
重要犯罪,,,2007年,兵庫県,,924,479,51.8,391
重要犯罪,,,2007年,奈良県,,151,110,72.8,99
重要犯罪,,,2007年,和歌山県,,116,89,76.7,90
重要犯罪,,,2007年,中国管区,,794,518,65.2,463
重要犯罪,,,2007年,鳥取県,,57,53,93,35
重要犯罪,,,2007年,島根県,,42,33,78.6,29
重要犯罪,,,2007年,岡山県,,188,108,57.4,97
重要犯罪,,,2007年,広島県,,396,221,55.8,204
重要犯罪,,,2007年,山口県,,111,103,92.8,98
重要犯罪,,,2007年,四国管区,,398,304,76.4,227
重要犯罪,,,2007年,徳島県,,47,33,70.2,26
重要犯罪,,,2007年,香川県,,115,108,93.9,72
重要犯罪,,,2007年,愛媛県,,130,98,75.4,82
重要犯罪,,,2007年,高知県,,106,65,61.3,47
重要犯罪,,,2007年,九州管区,,"1,760","1,181",67.1,913
重要犯罪,,,2007年,福岡県,,905,523,57.8,370
重要犯罪,,,2007年,佐賀県,,80,57,71.3,49
重要犯罪,,,2007年,長崎県,,145,86,59.3,68
重要犯罪,,,2007年,熊本県,,167,133,79.6,119
重要犯罪,,,2007年,大分県,,65,58,89.2,46
重要犯罪,,,2007年,宮崎県,,115,75,65.2,54
重要犯罪,,,2007年,鹿児島県,,115,110,95.7,79
重要犯罪,,,2007年,沖縄県,,168,139,82.7,128
重要犯罪,,,2006年,全国,,"18,649","11,084",59.4,"8,880"
重要犯罪,,,2006年,北海道,,773,468,60.5,347
重要犯罪,,,2006年,札幌方面,,531,299,56.3,217
重要犯罪,,,2006年,函館方面,,61,38,62.3,37
重要犯罪,,,2006年,旭川方面,,63,46,73,32
重要犯罪,,,2006年,釧路方面,,69,39,56.5,35
重要犯罪,,,2006年,北見方面,,49,46,93.9,26
重要犯罪,,,2006年,東北管区,,902,645,71.5,457
重要犯罪,,,2006年,青森県,,121,97,80.2,71
重要犯罪,,,2006年,岩手県,,105,84,80,75
重要犯罪,,,2006年,宮城県,,333,232,69.7,127
重要犯罪,,,2006年,秋田県,,64,60,93.8,41
重要犯罪,,,2006年,山形県,,78,57,73.1,47
重要犯罪,,,2006年,福島県,,201,115,57.2,96
重要犯罪,,,2006年,東京都,,"2,366","1,592",67.3,"1,386"
重要犯罪,,,2006年,関東管区,,"5,448","3,212",59,"2,501"
重要犯罪,,,2006年,茨城県,,453,221,48.8,195
重要犯罪,,,2006年,栃木県,,288,124,43.1,120
重要犯罪,,,2006年,群馬県,,241,127,52.7,127
重要犯罪,,,2006年,埼玉県,,"1,218",695,57.1,471
重要犯罪,,,2006年,千葉県,,889,540,60.7,429
重要犯罪,,,2006年,神奈川県,,"1,188",814,68.5,641
重要犯罪,,,2006年,新潟県,,320,187,58.4,144
重要犯罪,,,2006年,山梨県,,138,83,60.1,57
重要犯罪,,,2006年,長野県,,218,143,65.6,123
重要犯罪,,,2006年,静岡県,,495,278,56.2,194
重要犯罪,,,2006年,中部管区,,"1,929","1,039",53.9,886
重要犯罪,,,2006年,富山県,,88,103,117,51
重要犯罪,,,2006年,石川県,,98,76,77.6,56
重要犯罪,,,2006年,福井県,,59,40,67.8,37
重要犯罪,,,2006年,岐阜県,,230,143,62.2,116
重要犯罪,,,2006年,愛知県,,"1,228",574,46.7,531
重要犯罪,,,2006年,三重県,,226,103,45.6,95
重要犯罪,,,2006年,近畿管区,,"4,004","2,014",50.3,"1,656"
重要犯罪,,,2006年,滋賀県,,160,104,65,86
重要犯罪,,,2006年,京都府,,405,250,61.7,184
重要犯罪,,,2006年,大阪府,,"2,215","1,020",46,830
重要犯罪,,,2006年,兵庫県,,991,473,47.7,416
重要犯罪,,,2006年,奈良県,,113,94,83.2,61
重要犯罪,,,2006年,和歌山県,,120,73,60.8,79
重要犯罪,,,2006年,中国管区,,841,568,67.5,472
重要犯罪,,,2006年,鳥取県,,54,44,81.5,31
重要犯罪,,,2006年,島根県,,42,27,64.3,22
重要犯罪,,,2006年,岡山県,,191,148,77.5,128
重要犯罪,,,2006年,広島県,,440,249,56.6,217
重要犯罪,,,2006年,山口県,,114,100,87.7,74
重要犯罪,,,2006年,四国管区,,470,353,75.1,229
重要犯罪,,,2006年,徳島県,,66,40,60.6,30
重要犯罪,,,2006年,香川県,,105,89,84.8,71
重要犯罪,,,2006年,愛媛県,,189,165,87.3,85
重要犯罪,,,2006年,高知県,,110,59,53.6,43
重要犯罪,,,2006年,九州管区,,"1,916","1,193",62.3,946
重要犯罪,,,2006年,福岡県,,971,517,53.2,379
重要犯罪,,,2006年,佐賀県,,83,43,51.8,43
重要犯罪,,,2006年,長崎県,,150,90,60,82
重要犯罪,,,2006年,熊本県,,227,149,65.6,119
重要犯罪,,,2006年,大分県,,87,70,80.5,65
重要犯罪,,,2006年,宮崎県,,92,69,75,60
重要犯罪,,,2006年,鹿児島県,,142,126,88.7,70
重要犯罪,,,2006年,沖縄県,,164,129,78.7,128
重要犯罪,殺人,,2016年,全国,,895,901,100.7,816
重要犯罪,殺人,,2016年,北海道,,30,27,90,25
重要犯罪,殺人,,2016年,札幌方面,,20,19,95,17
重要犯罪,殺人,,2016年,函館方面,,2,1,50,1
重要犯罪,殺人,,2016年,旭川方面,,3,3,100,3
重要犯罪,殺人,,2016年,釧路方面,,5,3,60,3
重要犯罪,殺人,,2016年,北見方面,,0,1,0,1
重要犯罪,殺人,,2016年,東北管区,,48,51,106.3,41
重要犯罪,殺人,,2016年,青森県,,4,5,125,3
重要犯罪,殺人,,2016年,岩手県,,7,6,85.7,6
重要犯罪,殺人,,2016年,宮城県,,17,18,105.9,15
重要犯罪,殺人,,2016年,秋田県,,4,5,125,6
重要犯罪,殺人,,2016年,山形県,,7,8,114.3,5
重要犯罪,殺人,,2016年,福島県,,9,9,100,6
重要犯罪,殺人,,2016年,東京都,,81,81,100,72
重要犯罪,殺人,,2016年,関東管区,,280,286,102.1,254
重要犯罪,殺人,,2016年,茨城県,,19,19,100,18
重要犯罪,殺人,,2016年,栃木県,,15,17,113.3,14
重要犯罪,殺人,,2016年,群馬県,,12,13,108.3,14
重要犯罪,殺人,,2016年,埼玉県,,66,65,98.5,64
重要犯罪,殺人,,2016年,千葉県,,50,54,108,43
重要犯罪,殺人,,2016年,神奈川県,,57,57,100,53
重要犯罪,殺人,,2016年,新潟県,,10,10,100,9
重要犯罪,殺人,,2016年,山梨県,,6,6,100,9
重要犯罪,殺人,,2016年,長野県,,13,13,100,10
重要犯罪,殺人,,2016年,静岡県,,32,32,100,20
重要犯罪,殺人,,2016年,中部管区,,87,86,98.9,86
重要犯罪,殺人,,2016年,富山県,,1,1,100,1
重要犯罪,殺人,,2016年,石川県,,5,4,80,2
重要犯罪,殺人,,2016年,福井県,,1,1,100,1
重要犯罪,殺人,,2016年,岐阜県,,14,13,92.9,14
重要犯罪,殺人,,2016年,愛知県,,60,61,101.7,63
重要犯罪,殺人,,2016年,三重県,,6,6,100,5
重要犯罪,殺人,,2016年,近畿管区,,189,190,100.5,173
重要犯罪,殺人,,2016年,滋賀県,,8,8,100,5
重要犯罪,殺人,,2016年,京都府,,14,14,100,16
重要犯罪,殺人,,2016年,大阪府,,110,109,99.1,99
重要犯罪,殺人,,2016年,兵庫県,,43,43,100,39
重要犯罪,殺人,,2016年,奈良県,,7,8,114.3,8
重要犯罪,殺人,,2016年,和歌山県,,7,8,114.3,6
重要犯罪,殺人,,2016年,中国管区,,47,45,95.7,37
重要犯罪,殺人,,2016年,鳥取県,,3,3,100,2
重要犯罪,殺人,,2016年,島根県,,3,1,33.3,0
重要犯罪,殺人,,2016年,岡山県,,18,18,100,17
重要犯罪,殺人,,2016年,広島県,,18,18,100,14
重要犯罪,殺人,,2016年,山口県,,5,5,100,4
重要犯罪,殺人,,2016年,四国管区,,23,23,100,20
重要犯罪,殺人,,2016年,徳島県,,3,3,100,3
重要犯罪,殺人,,2016年,香川県,,7,7,100,6
重要犯罪,殺人,,2016年,愛媛県,,7,7,100,6
重要犯罪,殺人,,2016年,高知県,,6,6,100,5
重要犯罪,殺人,,2016年,九州管区,,110,112,101.8,108
重要犯罪,殺人,,2016年,福岡県,,56,53,94.6,45
重要犯罪,殺人,,2016年,佐賀県,,4,4,100,3
重要犯罪,殺人,,2016年,長崎県,,5,5,100,3
重要犯罪,殺人,,2016年,熊本県,,11,12,109.1,12
重要犯罪,殺人,,2016年,大分県,,3,3,100,1
重要犯罪,殺人,,2016年,宮崎県,,4,4,100,15
重要犯罪,殺人,,2016年,鹿児島県,,9,12,133.3,12
重要犯罪,殺人,,2016年,沖縄県,,18,19,105.6,17
重要犯罪,殺人,,2015年,全国,,933,938,100.5,913
重要犯罪,殺人,,2015年,北海道,,36,37,102.8,33
重要犯罪,殺人,,2015年,札幌方面,,22,23,104.5,19
重要犯罪,殺人,,2015年,函館方面,,3,3,100,3
重要犯罪,殺人,,2015年,旭川方面,,0,1,0,1
重要犯罪,殺人,,2015年,釧路方面,,8,9,112.5,9
重要犯罪,殺人,,2015年,北見方面,,3,1,33.3,1
重要犯罪,殺人,,2015年,東北管区,,47,44,93.6,36
重要犯罪,殺人,,2015年,青森県,,4,4,100,4
重要犯罪,殺人,,2015年,岩手県,,7,8,114.3,7
重要犯罪,殺人,,2015年,宮城県,,16,12,75,9
重要犯罪,殺人,,2015年,秋田県,,7,6,85.7,5
重要犯罪,殺人,,2015年,山形県,,5,5,100,2
重要犯罪,殺人,,2015年,福島県,,8,9,112.5,9
重要犯罪,殺人,,2015年,東京都,,102,113,110.8,109
重要犯罪,殺人,,2015年,関東管区,,269,275,102.2,287
重要犯罪,殺人,,2015年,茨城県,,19,17,89.5,21
重要犯罪,殺人,,2015年,栃木県,,11,11,100,8
重要犯罪,殺人,,2015年,群馬県,,19,21,110.5,24
重要犯罪,殺人,,2015年,埼玉県,,57,56,98.2,56
重要犯罪,殺人,,2015年,千葉県,,45,52,115.6,51
重要犯罪,殺人,,2015年,神奈川県,,58,58,100,54
重要犯罪,殺人,,2015年,新潟県,,14,13,92.9,12
重要犯罪,殺人,,2015年,山梨県,,6,6,100,4
重要犯罪,殺人,,2015年,長野県,,12,13,108.3,10
重要犯罪,殺人,,2015年,静岡県,,28,28,100,47
重要犯罪,殺人,,2015年,中部管区,,92,92,100,90
重要犯罪,殺人,,2015年,富山県,,3,4,133.3,4
重要犯罪,殺人,,2015年,石川県,,10,10,100,13
重要犯罪,殺人,,2015年,福井県,,10,10,100,11
重要犯罪,殺人,,2015年,岐阜県,,13,15,115.4,15
重要犯罪,殺人,,2015年,愛知県,,47,45,95.7,40
重要犯罪,殺人,,2015年,三重県,,9,8,88.9,7
重要犯罪,殺人,,2015年,近畿管区,,205,190,92.7,178
重要犯罪,殺人,,2015年,滋賀県,,7,6,85.7,6
重要犯罪,殺人,,2015年,京都府,,17,15,88.2,13
重要犯罪,殺人,,2015年,大阪府,,118,114,96.6,107
重要犯罪,殺人,,2015年,兵庫県,,42,35,83.3,35
重要犯罪,殺人,,2015年,奈良県,,10,10,100,7
重要犯罪,殺人,,2015年,和歌山県,,11,10,90.9,10
重要犯罪,殺人,,2015年,中国管区,,51,53,103.9,44
重要犯罪,殺人,,2015年,鳥取県,,6,6,100,5
重要犯罪,殺人,,2015年,島根県,,4,4,100,4
重要犯罪,殺人,,2015年,岡山県,,12,12,100,10
重要犯罪,殺人,,2015年,広島県,,19,21,110.5,17
重要犯罪,殺人,,2015年,山口県,,10,10,100,8
重要犯罪,殺人,,2015年,四国管区,,32,35,109.4,32
重要犯罪,殺人,,2015年,徳島県,,7,7,100,7
重要犯罪,殺人,,2015年,香川県,,9,11,122.2,9
重要犯罪,殺人,,2015年,愛媛県,,13,14,107.7,12
重要犯罪,殺人,,2015年,高知県,,3,3,100,4
重要犯罪,殺人,,2015年,九州管区,,99,99,100,104
重要犯罪,殺人,,2015年,福岡県,,40,42,105,52
重要犯罪,殺人,,2015年,佐賀県,,5,5,100,4
重要犯罪,殺人,,2015年,長崎県,,7,7,100,5
重要犯罪,殺人,,2015年,熊本県,,8,7,87.5,7
重要犯罪,殺人,,2015年,大分県,,4,4,100,4
重要犯罪,殺人,,2015年,宮崎県,,4,5,125,6
重要犯罪,殺人,,2015年,鹿児島県,,9,7,77.8,7
重要犯罪,殺人,,2015年,沖縄県,,22,22,100,19
重要犯罪,殺人,,2014年,全国,,"1,054","1,010",95.8,967
重要犯罪,殺人,,2014年,北海道,,34,34,100,31
重要犯罪,殺人,,2014年,札幌方面,,17,17,100,16
重要犯罪,殺人,,2014年,函館方面,,3,3,100,1
重要犯罪,殺人,,2014年,旭川方面,,4,4,100,4
重要犯罪,殺人,,2014年,釧路方面,,10,9,90,9
重要犯罪,殺人,,2014年,北見方面,,0,1,0,1
重要犯罪,殺人,,2014年,東北管区,,43,38,88.4,35
重要犯罪,殺人,,2014年,青森県,,7,6,85.7,6
重要犯罪,殺人,,2014年,岩手県,,9,8,88.9,6
重要犯罪,殺人,,2014年,宮城県,,10,10,100,12
重要犯罪,殺人,,2014年,秋田県,,3,3,100,3
重要犯罪,殺人,,2014年,山形県,,5,3,60,2
重要犯罪,殺人,,2014年,福島県,,9,8,88.9,6
重要犯罪,殺人,,2014年,東京都,,127,124,97.6,117
重要犯罪,殺人,,2014年,関東管区,,324,310,95.7,294
重要犯罪,殺人,,2014年,茨城県,,22,24,109.1,21
重要犯罪,殺人,,2014年,栃木県,,15,19,126.7,18
重要犯罪,殺人,,2014年,群馬県,,21,19,90.5,14
重要犯罪,殺人,,2014年,埼玉県,,73,71,97.3,79
重要犯罪,殺人,,2014年,千葉県,,70,59,84.3,58
重要犯罪,殺人,,2014年,神奈川県,,62,59,95.2,57
重要犯罪,殺人,,2014年,新潟県,,17,18,105.9,16
重要犯罪,殺人,,2014年,山梨県,,5,4,80,3
重要犯罪,殺人,,2014年,長野県,,9,8,88.9,7
重要犯罪,殺人,,2014年,静岡県,,30,29,96.7,21
重要犯罪,殺人,,2014年,中部管区,,73,76,104.1,69
重要犯罪,殺人,,2014年,富山県,,3,3,100,3
重要犯罪,殺人,,2014年,石川県,,6,6,100,5
重要犯罪,殺人,,2014年,福井県,,4,4,100,3
重要犯罪,殺人,,2014年,岐阜県,,6,5,83.3,4
重要犯罪,殺人,,2014年,愛知県,,47,50,106.4,46
重要犯罪,殺人,,2014年,三重県,,7,8,114.3,8
重要犯罪,殺人,,2014年,近畿管区,,255,237,92.9,225
重要犯罪,殺人,,2014年,滋賀県,,10,7,70,5
重要犯罪,殺人,,2014年,京都府,,29,29,100,26
重要犯罪,殺人,,2014年,大阪府,,150,133,88.7,122
重要犯罪,殺人,,2014年,兵庫県,,51,54,105.9,58
重要犯罪,殺人,,2014年,奈良県,,6,5,83.3,5
重要犯罪,殺人,,2014年,和歌山県,,9,9,100,9
重要犯罪,殺人,,2014年,中国管区,,53,52,98.1,52
重要犯罪,殺人,,2014年,鳥取県,,3,4,133.3,4
重要犯罪,殺人,,2014年,島根県,,5,5,100,5
重要犯罪,殺人,,2014年,岡山県,,14,14,100,14
重要犯罪,殺人,,2014年,広島県,,25,23,92,21
重要犯罪,殺人,,2014年,山口県,,6,6,100,8
重要犯罪,殺人,,2014年,四国管区,,35,32,91.4,29
重要犯罪,殺人,,2014年,徳島県,,4,4,100,3
重要犯罪,殺人,,2014年,香川県,,10,8,80,8
重要犯罪,殺人,,2014年,愛媛県,,12,11,91.7,10
重要犯罪,殺人,,2014年,高知県,,9,9,100,8
重要犯罪,殺人,,2014年,九州管区,,110,107,97.3,115
重要犯罪,殺人,,2014年,福岡県,,43,43,100,58
重要犯罪,殺人,,2014年,佐賀県,,4,4,100,4
重要犯罪,殺人,,2014年,長崎県,,5,3,60,3
重要犯罪,殺人,,2014年,熊本県,,13,12,92.3,10
重要犯罪,殺人,,2014年,大分県,,9,9,100,6
重要犯罪,殺人,,2014年,宮崎県,,7,6,85.7,6
重要犯罪,殺人,,2014年,鹿児島県,,10,12,120,10
重要犯罪,殺人,,2014年,沖縄県,,19,18,94.7,18
重要犯罪,殺人,,2013年,全国,,938,950,101.3,906
重要犯罪,殺人,,2013年,北海道,,41,40,97.6,41
重要犯罪,殺人,,2013年,札幌方面,,30,30,100,30
重要犯罪,殺人,,2013年,函館方面,,2,2,100,2
重要犯罪,殺人,,2013年,旭川方面,,3,3,100,4
重要犯罪,殺人,,2013年,釧路方面,,4,4,100,4
重要犯罪,殺人,,2013年,北見方面,,2,1,50,1
重要犯罪,殺人,,2013年,東北管区,,52,55,105.8,46
重要犯罪,殺人,,2013年,青森県,,9,9,100,6
重要犯罪,殺人,,2013年,岩手県,,10,12,120,9
重要犯罪,殺人,,2013年,宮城県,,10,9,90,10
