区分,種類,対象,時間軸(年次),管区警察局,/認知・検挙件数・検挙人員,認知件数【件】,検挙件数【件】,検挙率【%】,検挙人員【人】
重要窃盗犯,すり,,2016年,石川県,,32,18,56.3,15
重要窃盗犯,すり,,2016年,福井県,,6,6,100,4
重要窃盗犯,すり,,2016年,岐阜県,,10,4,40,6
重要窃盗犯,すり,,2016年,愛知県,,139,26,18.7,18
重要窃盗犯,すり,,2016年,三重県,,9,1,11.1,1
重要窃盗犯,すり,,2016年,近畿管区,,824,199,24.2,149
重要窃盗犯,すり,,2016年,滋賀県,,6,6,100,2
重要窃盗犯,すり,,2016年,京都府,,29,16,55.2,12
重要窃盗犯,すり,,2016年,大阪府,,660,107,16.2,88
重要窃盗犯,すり,,2016年,兵庫県,,115,61,53,42
重要窃盗犯,すり,,2016年,奈良県,,8,4,50,2
重要窃盗犯,すり,,2016年,和歌山県,,6,5,83.3,3
重要窃盗犯,すり,,2016年,中国管区,,40,21,52.5,18
重要窃盗犯,すり,,2016年,鳥取県,,1,1,100,1
重要窃盗犯,すり,,2016年,島根県,,4,3,75,3
重要窃盗犯,すり,,2016年,岡山県,,9,5,55.6,6
重要窃盗犯,すり,,2016年,広島県,,22,8,36.4,5
重要窃盗犯,すり,,2016年,山口県,,4,4,100,3
重要窃盗犯,すり,,2016年,四国管区,,58,78,134.5,20
重要窃盗犯,すり,,2016年,徳島県,,3,0,0,0
重要窃盗犯,すり,,2016年,香川県,,12,52,433.3,3
重要窃盗犯,すり,,2016年,愛媛県,,36,23,63.9,15
重要窃盗犯,すり,,2016年,高知県,,7,3,42.9,2
重要窃盗犯,すり,,2016年,九州管区,,168,143,85.1,109
重要窃盗犯,すり,,2016年,福岡県,,96,82,85.4,36
重要窃盗犯,すり,,2016年,佐賀県,,1,1,100,1
重要窃盗犯,すり,,2016年,長崎県,,2,0,0,0
重要窃盗犯,すり,,2016年,熊本県,,18,12,66.7,10
重要窃盗犯,すり,,2016年,大分県,,2,2,100,3
重要窃盗犯,すり,,2016年,宮崎県,,1,1,100,1
重要窃盗犯,すり,,2016年,鹿児島県,,9,11,122.2,16
重要窃盗犯,すり,,2016年,沖縄県,,39,34,87.2,42
重要窃盗犯,すり,,2015年,全国,,"4,222","1,162",27.5,725
重要窃盗犯,すり,,2015年,北海道,,52,27,51.9,21
重要窃盗犯,すり,,2015年,札幌方面,,40,23,57.5,17
重要窃盗犯,すり,,2015年,函館方面,,2,0,0,0
重要窃盗犯,すり,,2015年,旭川方面,,9,4,44.4,3
重要窃盗犯,すり,,2015年,釧路方面,,1,0,0,0
重要窃盗犯,すり,,2015年,北見方面,,0,0,0,1
重要窃盗犯,すり,,2015年,東北管区,,65,19,29.2,10
重要窃盗犯,すり,,2015年,青森県,,2,2,100,2
重要窃盗犯,すり,,2015年,岩手県,,7,4,57.1,2
重要窃盗犯,すり,,2015年,宮城県,,41,8,19.5,4
重要窃盗犯,すり,,2015年,秋田県,,4,2,50,1
重要窃盗犯,すり,,2015年,山形県,,3,0,0,0
重要窃盗犯,すり,,2015年,福島県,,8,3,37.5,1
重要窃盗犯,すり,,2015年,東京都,,"1,956",367,18.8,200
重要窃盗犯,すり,,2015年,関東管区,,619,284,45.9,152
重要窃盗犯,すり,,2015年,茨城県,,27,2,7.4,0
重要窃盗犯,すり,,2015年,栃木県,,11,5,45.5,2
重要窃盗犯,すり,,2015年,群馬県,,12,5,41.7,6
重要窃盗犯,すり,,2015年,埼玉県,,142,69,48.6,46
重要窃盗犯,すり,,2015年,千葉県,,202,107,53,38
重要窃盗犯,すり,,2015年,神奈川県,,151,74,49,50
重要窃盗犯,すり,,2015年,新潟県,,25,11,44,5
重要窃盗犯,すり,,2015年,山梨県,,3,0,0,0
重要窃盗犯,すり,,2015年,長野県,,26,4,15.4,1
重要窃盗犯,すり,,2015年,静岡県,,20,7,35,4
